order_id,customer_id,order_date,order_status,payment_method,shipping_method,shipping_cost,tax_amount,discount_amount,total_amount,created_at,updated_at
112,528,2025-10-14 13:14:45,Completed,Credit Card,Standard,8.16,402.92,0.0,5447.61,2025-10-14 13:14:45,2025-10-14 13:14:45
113,3169,2025-12-14 16:11:17,Returned,Credit Card,Express,23.19,432.09,21.13,5835.28,2025-12-14 16:11:17,2025-12-14 16:11:17
114,1303,2025-12-08 08:33:53,Pending,Gift Card,Standard,19.84,159.01,0.0,2166.43,2025-12-08 08:33:53,2025-12-08 08:33:53
115,932,2025-03-17 10:35:20,Completed,PayPal,Next Day,19.97,239.04,0.0,3247.07,2025-03-17 10:35:20,2025-03-17 10:35:20
116,493,2025-11-18 12:37:02,Completed,Credit Card,Next Day,9.97,224.3,0.0,3038.03,2025-11-18 12:37:02,2025-11-18 12:37:02
117,3906,2025-05-15 07:47:27,Completed,Credit Card,Express,16.43,50.6,0.0,699.47,2025-05-15 07:47:27,2025-05-15 07:47:27
118,2880,2025-04-23 23:21:19,Pending,Debit Card,Standard,5.53,370.26,0.0,5004.04,2025-04-23 23:21:19,2025-04-23 23:21:19
119,4580,2025-10-08 10:59:45,Pending,Gift Card,Next Day,14.88,425.45,0.0,5758.48,2025-10-08 10:59:45,2025-10-08 10:59:45
120,4328,2025-07-09 03:41:01,Completed,Gift Card,Standard,11.55,337.25,10.53,4553.94,2025-07-09 03:41:01,2025-07-09 03:41:01
121,2063,2025-02-08 17:44:13,Completed,Credit Card,Next Day,21.31,288.05,31.57,3878.36,2025-02-08 17:44:13,2025-02-08 17:44:13
122,693,2025-08-09 14:23:10,Completed,Debit Card,Express,11.29,281.72,0.0,3814.47,2025-08-09 14:23:10,2025-08-09 14:23:10
123,3442,2025-04-19 20:04:15,Completed,Gift Card,Standard,18.78,328.74,0.0,4456.78,2025-04-19 20:04:15,2025-04-19 20:04:15
124,2212,2025-04-26 22:51:27,Cancelled,PayPal,Express,15.18,142.04,4.85,1927.83,2025-04-26 22:51:27,2025-04-26 22:51:27
125,2781,2025-10-27 22:24:42,Completed,PayPal,Next Day,24.47,173.25,0.0,2363.35,2025-10-27 22:24:42,2025-10-27 22:24:42
126,811,2025-02-16 17:10:39,Completed,Debit Card,Next Day,2.64,476.16,48.01,6382.83,2025-02-16 17:10:39,2025-02-16 17:10:39
127,482,2025-02-07 11:27:41,Completed,Gift Card,Express,18.92,279.22,0.0,3788.42,2025-02-07 11:27:41,2025-02-07 11:27:41
128,160,2025-11-15 17:42:11,Completed,Debit Card,Express,16.4,211.63,0.0,2873.43,2025-11-15 17:42:11,2025-11-15 17:42:11
129,1132,2025-12-16 00:02:31,Returned,Gift Card,Standard,15.91,281.2,0.0,3812.1,2025-12-16 00:02:31,2025-12-16 00:02:31
130,4513,2025-06-18 20:15:32,Completed,Gift Card,Standard,8.13,77.9,0.0,1059.83,2025-06-18 20:15:32,2025-06-18 20:15:32
131,1479,2025-07-13 23:15:23,Completed,Debit Card,Standard,18.57,286.7,32.71,3856.35,2025-07-13 23:15:23,2025-07-13 23:15:23
132,2093,2025-02-23 14:39:18,Completed,PayPal,Standard,11.8,251.29,9.99,3394.24,2025-02-23 14:39:18,2025-02-23 14:39:18
133,698,2025-07-17 14:55:00,Completed,Gift Card,Standard,17.09,57.6,0.0,794.71,2025-07-17 14:55:00,2025-07-17 14:55:00
134,895,2025-07-07 07:26:37,Completed,Credit Card,Next Day,20.95,455.39,45.44,6123.26,2025-07-07 07:26:37,2025-07-07 07:26:37
135,2206,2025-12-04 21:47:45,Pending,Gift Card,Next Day,24.89,63.9,3.52,884.01,2025-12-04 21:47:45,2025-12-04 21:47:45
136,4230,2025-04-11 17:21:32,Cancelled,Credit Card,Next Day,19.41,287.55,0.0,3901.38,2025-04-11 17:21:32,2025-04-11 17:21:32
137,3935,2025-08-04 23:56:07,Completed,Credit Card,Express,20.29,404.08,36.26,5439.17,2025-08-04 23:56:07,2025-08-04 23:56:07
138,4726,2025-03-02 01:25:11,Completed,Gift Card,Express,19.69,616.73,0.0,8345.51,2025-03-02 01:25:11,2025-03-02 01:25:11
139,1055,2025-12-23 20:23:03,Completed,Debit Card,Standard,22.82,143.78,10.5,1953.35,2025-12-23 20:23:03,2025-12-23 20:23:03
140,3619,2025-12-05 22:41:31,Completed,Gift Card,Standard,18.92,238.51,0.0,3238.8,2025-12-05 22:41:31,2025-12-05 22:41:31
141,1873,2025-07-02 18:22:53,Completed,Gift Card,Next Day,6.45,194.57,0.0,2633.12,2025-07-02 18:22:53,2025-07-02 18:22:53
142,3148,2025-11-30 03:08:08,Completed,Debit Card,Next Day,9.07,306.48,0.0,4146.58,2025-11-30 03:08:08,2025-11-30 03:08:08
143,3757,2025-02-08 13:48:52,Completed,Gift Card,Next Day,7.37,323.56,34.75,4340.7,2025-02-08 13:48:52,2025-02-08 13:48:52
144,2766,2025-09-24 21:33:37,Completed,PayPal,Standard,21.27,303.76,0.0,4122.04,2025-09-24 21:33:37,2025-09-24 21:33:37
145,2389,2025-06-17 16:10:13,Pending,Gift Card,Express,15.46,233.44,0.0,3166.93,2025-06-17 16:10:13,2025-06-17 16:10:13
146,2468,2025-02-09 19:00:27,Cancelled,Debit Card,Next Day,9.36,469.63,24.26,6325.16,2025-02-09 19:00:27,2025-02-09 19:00:27
147,904,2025-09-11 02:06:20,Completed,Credit Card,Express,5.62,438.19,0.0,5921.2,2025-09-11 02:06:20,2025-09-11 02:06:20
148,484,2025-12-06 12:55:00,Completed,Debit Card,Express,11.48,127.2,45.32,1683.39,2025-12-06 12:55:00,2025-12-06 12:55:00
149,4018,2025-12-24 03:28:13,Cancelled,PayPal,Express,16.61,370.94,0.0,5024.25,2025-12-24 03:28:13,2025-12-24 03:28:13
150,149,2025-03-24 21:43:57,Returned,Credit Card,Standard,11.17,189.51,0.0,2569.56,2025-03-24 21:43:57,2025-03-24 21:43:57
151,245,2025-12-31 11:00:06,Completed,Gift Card,Standard,1.01,34.28,0.0,463.75,2025-12-31 11:00:06,2025-12-31 11:00:06
152,2425,2025-10-10 23:40:25,Pending,Credit Card,Standard,13.06,57.69,0.0,791.88,2025-10-10 23:40:25,2025-10-10 23:40:25
153,1630,2025-03-25 02:46:53,Completed,Gift Card,Express,2.46,83.38,2.55,1125.48,2025-03-25 02:46:53,2025-03-25 02:46:53
154,1134,2025-02-14 22:05:24,Completed,Gift Card,Standard,11.9,195.36,0.0,2649.25,2025-02-14 22:05:24,2025-02-14 22:05:24
155,1489,2025-08-28 20:23:04,Completed,Credit Card,Next Day,10.74,539.09,36.0,7252.49,2025-08-28 20:23:04,2025-08-28 20:23:04
156,3813,2025-08-29 12:26:47,Pending,Credit Card,Express,18.86,523.11,0.0,7080.89,2025-08-29 12:26:47,2025-08-29 12:26:47
157,3372,2025-11-24 16:23:31,Completed,Debit Card,Express,21.68,278.47,0.0,3781.02,2025-11-24 16:23:31,2025-11-24 16:23:31
158,4629,2025-03-29 12:06:20,Completed,Credit Card,Standard,12.19,402.49,0.0,5445.81,2025-03-29 12:06:20,2025-03-29 12:06:20
159,2227,2025-12-31 18:25:00,Completed,Gift Card,Next Day,7.62,270.4,22.16,3635.81,2025-12-31 18:25:00,2025-12-31 18:25:00
160,4466,2025-12-21 11:00:39,Pending,PayPal,Standard,19.07,498.39,0.0,6747.3,2025-12-21 11:00:39,2025-12-21 11:00:39
161,2383,2026-01-17 08:55:17,Completed,PayPal,Next Day,16.8,71.8,0.0,986.13,2026-01-17 08:55:17,2026-01-17 08:55:17
162,2133,2025-07-26 14:10:43,Pending,PayPal,Next Day,16.56,464.8,0.0,6291.37,2025-07-26 14:10:43,2025-07-26 14:10:43
163,637,2025-09-13 22:31:52,Pending,Debit Card,Standard,23.32,193.54,0.0,2636.1,2025-09-13 22:31:52,2025-09-13 22:31:52
164,4110,2026-01-25 05:19:59,Pending,Debit Card,Express,7.7,173.08,0.0,2344.23,2026-01-25 05:19:59,2026-01-25 05:19:59
165,2354,2025-04-28 10:29:48,Returned,Debit Card,Next Day,20.13,58.16,38.35,766.94,2025-04-28 10:29:48,2025-04-28 10:29:48
166,1995,2025-12-08 21:07:10,Completed,Debit Card,Express,20.81,206.84,0.0,2813.21,2025-12-08 21:07:10,2025-12-08 21:07:10
167,1069,2025-11-15 09:46:58,Completed,PayPal,Standard,15.44,279.31,0.0,3786.07,2025-11-15 09:46:58,2025-11-15 09:46:58
168,2039,2026-01-04 15:59:01,Completed,Gift Card,Next Day,14.82,289.59,47.34,3876.99,2026-01-04 15:59:01,2026-01-04 15:59:01
169,1546,2025-10-04 00:07:06,Completed,Gift Card,Standard,2.54,398.61,0.0,5383.75,2025-10-04 00:07:06,2025-10-04 00:07:06
170,306,2025-05-27 05:43:04,Completed,PayPal,Next Day,1.85,184.81,36.62,2460.22,2025-05-27 05:43:04,2025-05-27 05:43:04
171,3104,2025-02-20 03:48:52,Completed,Credit Card,Express,6.13,309.64,0.0,4186.31,2025-02-20 03:48:52,2025-02-20 03:48:52
172,3005,2025-02-12 13:28:58,Pending,Credit Card,Standard,19.3,420.18,0.0,5691.68,2025-02-12 13:28:58,2025-02-12 13:28:58
173,85,2025-08-01 12:48:06,Pending,PayPal,Standard,8.03,291.14,0.0,3938.47,2025-08-01 12:48:06,2025-08-01 12:48:06
174,4738,2026-01-07 11:48:51,Completed,Credit Card,Standard,2.98,290.68,0.0,3927.15,2026-01-07 11:48:51,2026-01-07 11:48:51
175,1237,2025-10-11 03:17:10,Completed,Debit Card,Standard,14.14,519.71,47.99,6982.24,2025-10-11 03:17:10,2025-10-11 03:17:10
176,1088,2025-02-16 08:00:26,Completed,Credit Card,Next Day,2.3,213.25,0.0,2881.19,2025-02-16 08:00:26,2025-02-16 08:00:26
177,3263,2025-04-30 17:55:45,Pending,Credit Card,Next Day,23.06,452.24,0.0,6128.29,2025-04-30 17:55:45,2025-04-30 17:55:45
178,3328,2025-08-13 17:38:47,Completed,PayPal,Next Day,8.26,289.14,0.0,3911.63,2025-08-13 17:38:47,2025-08-13 17:38:47
179,3432,2025-10-07 03:16:33,Cancelled,Gift Card,Next Day,7.35,121.95,0.0,1653.65,2025-10-07 03:16:33,2025-10-07 03:16:33
180,3664,2025-03-02 01:05:22,Completed,Debit Card,Standard,14.61,247.66,26.62,3331.38,2025-03-02 01:05:22,2025-03-02 01:05:22
181,699,2025-05-09 13:04:05,Cancelled,PayPal,Standard,19.32,349.71,0.0,4740.4,2025-05-09 13:04:05,2025-05-09 13:04:05
182,3092,2026-01-12 18:12:50,Pending,Debit Card,Standard,8.19,42.24,0.0,578.37,2026-01-12 18:12:50,2026-01-12 18:12:50
183,4379,2025-10-17 04:41:27,Completed,PayPal,Express,24.78,34.11,0.0,485.23,2025-10-17 04:41:27,2025-10-17 04:41:27
184,3360,2025-11-27 13:22:05,Completed,Gift Card,Standard,20.85,62.67,0.0,866.94,2025-11-27 13:22:05,2025-11-27 13:22:05
185,1851,2025-07-12 06:35:24,Completed,Gift Card,Express,9.98,100.34,0.0,1364.57,2025-07-12 06:35:24,2025-07-12 06:35:24
186,2743,2025-11-29 07:16:42,Completed,PayPal,Next Day,22.83,10.61,6.09,159.94,2025-11-29 07:16:42,2025-11-29 07:16:42
